,O,F,FF,FM,FFF,FFM,FFFF,FFFM,FFMM
O,0.905850086,1e-09,0.04537933,0.048770575,1e-08,1e-08,3e-09,3e-09,3e-09
F,1e-09,0.950479016,0.000750402,0.048770575,7e-09,7e-09,3e-09,3e-09,3e-09
FF,4.9998e-05,4.9998e-05,0.999793826,4.9998e-05,4.9998e-05,4.9998e-05,6.187e-06,6.187e-06,6.187e-06
FM,1.064e-06,2.453e-05,0.001165429,0.998795591,1.2479e-05,1.2479e-05,9.12e-07,9.12e-07,9.12e-07
FFF,1e-09,1e-09,0.001248044,0.048770575,0.949981383,4.9998e-05,1e-09,1e-09,1e-09
FFM,1e-09,1e-09,0.001248044,0.048770575,0.001165429,0.949981383,1e-09,1e-09,1e-09
FFFF,1e-09,1e-09,1e-09,0.017682158,0.000297693,0.000297693,0.982020152,4.9998e-05,4.9998e-05
FFFM,1e-09,1e-09,1e-09,0.017682158,0.000297693,0.000297693,0.001165429,0.982020152,0.001165429
FFMM,1e-09,1e-09,1e-09,0.017682158,0.000297693,0.000297693,0.001165429,4.9998e-05,0.982020152
